surface,spherical_disproportion,max,median,MAD,energy,std,uniformity,glcm_contrast,glcm_entropy,glcm_correlation,glcm_sumaverage,glcm_dissimilarity,glcm_autocorrelation,glrlm_rp,glszm_gln,ngtdm_coarseness,label
0.2457,0.2123,0.99948,0.83745,1,0.18336,1,0.0077416,0.21306,0.57635,0.44216,0.012599,0.28726,0.82869,0.94785,0.033526,0.025038,0
0.22589,0.10268,0.17088,0.16918,0.13459,0.013551,0.12986,0.0075104,0.16966,0.79066,0.34096,0.012086,0.28797,0.69369,0.96147,0.030036,0.029425,0
0.41764,0.1696,0.62542,0.55692,0.58122,0.14904,0.59319,0.0064205,0.21943,0.85027,0.44736,0.012116,0.31321,0.71855,0.95246,0.026077,0.01924,1
0.3015,0.11688,0.15682,0.13319,0.13574,0.015048,0.12776,0.0068744,0.2296,0.88294,0.23005,0.011593,0.39072,0.57738,0.97034,0.028642,0.020237,1
0.39819,0.51883,0.58384,0.29678,0.45311,0.060081,0.48231,0.0078408,0.17112,1,0.45778,0.0095346,0.34044,0.18872,0.9677,0.024101,0.027526,1
0.20568,0.42557,0.056896,0.066732,0.065888,0.003994,0.060199,0.0088637,0.36349,0.91076,0.2675,0.010784,0.53594,0.41787,0.98305,0.026505,0.038415,0
0.3813,0.1327,0.80351,0.73772,0.62768,0.21517,0.62448,0.0068131,0.093896,0.69429,0.33943,0.012426,0.20261,0.76702,0.9464,0.031104,0.020321,1
0.33023,0.11079,0.15022,0.1719,0.11075,0.018527,0.098447,0.0071136,0.048988,0.59936,0.24866,0.012477,0.15888,0.77124,0.94865,0.036123,0.023881,0
0.16453,0.48424,0.014196,0.051116,0,0.0021582,0,0.0087833,0.34276,0.72461,0.24541,0.011655,0.43469,0.59646,0.97437,0.029103,0.040633,0
0.29817,0.11302,0.10727,0.094673,0.092541,0.010013,0.082868,0.0075194,0.1817,0.75329,0.2,0.011692,0.3311,0.59533,0.95871,0.02788,0.019815,1
0.36065,0.56115,0.41043,0.17712,0.20932,0.021717,0.23841,0.010153,0.10249,0.90723,0.44675,0.0086691,0.2647,0.032107,0.97055,0.027432,0.032635,1
0.19687,0.4191,0.40289,0.20163,0.16719,0.014391,0.20199,0.01079,0.058299,0.67441,0.43484,0.0086339,0.17614,0.019961,0.96069,0.032416,0.061004,1
0.39378,0.12823,0.045281,0.12224,0.04734,0.013072,0.037946,0.007799,0.25102,0.56565,0.30042,0.013001,0.29478,0.91054,0.93273,0.02741,0.012891,0
0.36809,0.025779,0.20782,0.28095,0.15913,0.039727,0.14432,0.007855,0.24087,0.52409,0.32297,0.013008,0.27491,0.91426,0.9262,0.030183,0.013348,0
0.29153,0.12913,0.16896,0.17382,0.13854,0.019212,0.1249,0.007258,0.27809,0.82824,0.2379,0.012166,0.4057,0.7089,0.96658,0.030178,0.021113,0
0.16674,0.35558,0.27415,0.30257,0.14858,0.019531,0.15966,0.0096724,0.23149,0.50074,0.24487,0.012062,0.25834,0.6827,0.94905,0.030243,0.036756,0
0.15465,0.88614,0.75738,0.36385,0.40172,0.025901,0.46859,0.014092,0.24139,0.75981,0.46048,0.0085977,0.4266,0.038973,0.98706,0.027778,0.05713,1
0.34892,0.18987,0,0.054559,0.016745,0.0057085,0.0095946,0.0068899,0.34805,0.94371,0.29823,0.011622,0.43325,0.59667,0.96588,0.024272,0.020541,0
0.43417,0.17464,0.98069,0.86624,0.97776,0.33268,0.97249,0.006129,0.16443,0.81151,0.47572,0.012368,0.26927,0.77487,0.95139,0.02676,0.018966,1
0.38498,0.15372,0.46139,0.43265,0.36439,0.090993,0.35896,0.0062803,0.15545,0.80471,0.31984,0.012316,0.24896,0.7434,0.9549,0.027344,0.021711,1
0.23221,0.92434,0.78578,0.52468,0.62159,0.061446,0.65942,0.0091179,0.36817,0.86752,0.24742,0.011483,0.50781,0.56074,0.98488,0.028333,0.03572,1
0.3674,0.93815,0.28022,0.09547,0.14372,0.010058,0.15974,0.0096881,0.10635,0.86593,0.41499,0.0084859,0.26458,0,0.97371,0.029322,0.037729,1
0.28977,0.33109,0.060916,0.075665,0.040515,0.0061441,0.036676,0.0079566,0.31919,0.87123,0.23011,0.011251,0.42077,0.50764,0.9709,0.02674,0.027884,1
0.24938,0.19322,0.45622,0.42821,0.49041,0.05717,0.47039,0.0071153,0.2842,0.76723,0.32757,0.012538,0.36789,0.8048,0.95847,0.028692,0.028018,0
0.95117,0.52165,0.73554,0.74079,0.41894,0.5316,0.41808,0.0060043,0.11051,0.70998,0.24666,0.012429,0.19946,0.76239,0.94494,0.030696,0.0072586,1
0.20716,0.42261,0.16156,0.13647,0.1811,0.0092603,0.16984,0.0094379,0.49302,0.92696,0.1945,0.010654,0.66279,0.3871,0.98066,0.02493,0.029941,0
0.30305,0.11354,0.29338,0.40897,0.10855,0.055979,0.10667,0.0092697,0.014723,0.064175,0.14691,0.013314,0.035902,0.96905,0.90862,0.046401,0.017238,0
0.31727,0.27613,0.035129,0.058999,0.038196,0.0060744,0.031388,0.0075624,0.12202,0.73924,0.24299,0.012512,0.26245,0.78271,0.96477,0.032548,0.024994,0
0.38934,0.32347,0.45321,0.39918,0.41769,0.076355,0.3936,0.0061925,0.22244,0.83173,0.31982,0.011886,0.33562,0.65019,0.95728,0.024875,0.01862,0
0,0,0.014193,0,0.041617,0,0.043294,0.015822,1,0.60187,0.040982,0.0099536,1,0.23763,0.9886,0.035154,0.043373,0
0.24902,0.13839,0.75693,0.68098,0.78578,0.12949,0.74269,0.0072627,0.15235,0.69186,0.32522,0.012981,0.2739,0.90268,0.95874,0.030078,0.026123,0
0.22369,0.45175,0.012803,0.031069,0.033001,0.0024139,0.028462,0.0081587,0.45301,0.99494,0.24508,0.010147,0.62086,0.29228,0.98613,0.024792,0.0289,0
0.35917,0.24491,0.70908,0.73561,0.6387,0.18059,0.6136,0.0069688,0.18403,0.59553,0.27927,0.013148,0.26609,0.94142,0.94378,0.029685,0.017306,0
0.21304,0.47785,0.11075,0.095535,0.11566,0.0059569,0.10902,0.0086095,0.29853,0.86146,0.27139,0.011037,0.50014,0.46727,0.97792,0.026286,0.031725,0
1,0.44466,1,1,0.78568,1,0.80287,0.0064365,0.10632,0.71759,0.39399,0.012954,0.218,0.8984,0.94187,0.031897,0.0068751,1
0.39591,0.19026,0.63568,0.55071,0.61663,0.13237,0.58676,0.0070741,0.28087,0.89335,0.35617,0.011881,0.39002,0.65697,0.95598,0.023636,0.018309,0
0.20503,1,0.51677,0.38325,0.35619,0.03135,0.36562,0.01044,0.48473,0.84576,0.13465,0.011342,0.59587,0.52062,0.98133,0.026566,0.037314,1
0.33791,0.90482,0.84667,0.5311,0.59342,0.097066,0.6108,0.0089353,0.28806,0.96582,0.33237,0.010671,0.44482,0.39756,0.98139,0.026368,0.035158,1
0.24718,0.1702,0.62272,0.57298,0.63621,0.09032,0.6166,0.0076371,0.30787,0.76505,0.30262,0.012486,0.38809,0.79134,0.96123,0.027729,0.024764,0
0.31803,0.34254,0.20164,0.22187,0.15608,0.022851,0.15041,0.0071006,0.094979,0.59434,0.17961,0.012729,0.21808,0.82958,0.96259,0.035301,0.024417,1
0.23177,0.22564,0.19417,0.30361,0.066908,0.02565,0.075506,0.010034,0,0,0.27893,0.013422,0,1,0.91941,0.057485,0.024873,0
0.20156,0.56596,0.27013,0.35924,0.10098,0.025554,0.10561,0.010275,0.35895,0.39816,0.20587,0.012918,0.37894,0.88521,0.95193,0.028164,0.024986,0
0.23914,0.13663,0.017226,0.057512,0.028218,0.0040438,0.0214,0.0069204,0.37731,0.85523,0.35082,0.011494,0.45001,0.57817,0.96564,0.025413,0.025952,0
0.36357,0.17717,0.91692,0.90157,0.85792,0.28191,0.82573,0.0072448,0.16901,0.5954,0.30575,0.01309,0.25445,0.92875,0.94413,0.031264,0.017067,0
